text,label
بيع سيارة تويوتا 2015 بحالة ممتازة,مسموح
شقة للإيجار في حي راقٍ,مسموح
فرصة عمل في التسويق الشبكي,مسموح
مطلوب مهندس كهرباء بخبرة 5 سنوات,مسموح
دروس خصوصية في الرياضيات والفيزياء,مسموح
عرض خاص على الجوالات الذكية,مسموح
حضانة أطفال تبحث عن مربيات,مسموح
بيع أثاث مستعمل بحالة جيدة,مسموح
خدمة توصيل طلبات للمنازل,مسموح
محل للملابس النسائية بأسعار منافسة,مسموح
بيع مواد تعليمية للأطفال,مسموح
دورة تدريبية في التصميم الجرافيكي,مسموح
مطلوب مندوب مبيعات بدوام جزئي,مسموح
تسجيل في دورة لغة إنجليزية,مسموح
معلم رياضيات خصوصي، اتصلوا بي,مسموح
توصيل مجاني على جميع الطلبات,مسموح
حشيش للبيع، جودة عالية,ممنوع
فيه كبتاغون أبيض مضمون,ممنوع
ترامادول للراس مضمون ومرتب,ممنوع
عندك بودرة؟ تعال خاص,ممنوع
نار الهيدرو وصلت للتو,ممنوع
فيه حبوب تسطل الدماغ,ممنوع
بضاعتي توصل لباب البيت بدون مشاكل,ممنوع
سجائر مستوردة رخيصة,ممنوع
نكهات فيب مش موجودة بالسوق,ممنوع
باكيت دخان مهرب,ممنوع
شيشة تفاحتين بنكهة غريبة,ممنوع
تبغ فاخر بدون ضرائب,ممنوع
مسدس صغير سهل الحمل,ممنوع
رشاش للبيع مع الذخيرة,ممنوع
طلقات حية بأسعار رمزية,ممنوع
سلاح روسي أصلي معروض للبيع,ممنوع
موقع أفلام للكبار فقط,ممنوع
صور بنات نار 🔥,ممنوع
أفلام إباحية مترجمة عربي,ممنوع
فيه شات +18 تعال خاص,ممنوع
دردشة جنسية فورية,ممنوع
يا كلب ما تفهم شي,ممنوع
تباً لك، خليك بحالك,ممنوع
يا حيوان روح نام,ممنوع
يا ابن ال... ما عندك كرامة,ممنوع
لعنة الله عليك يا وغد,ممنوع
قذر ومنحط وفوقها كذاب,ممنوع
fuck you,ممنوع
screw your life,ممنوع
